Id,LazyTitle,Name,Description,Category,ImageId
73,Mofas frei,Mofas frei,"Verkehrsschild: Mofas, Fahrräder und Fußgänger in der Unterführung frei",Verkehrswege ,DSC07560.JPG
74,Unterführung,Unterführung,gekachelte Unterführung,Verkehrswege ,DSC07561.JPG
75,Fahrradabgrenzung,Fahrradabgrenzung,in der Unterführung,Verkehrswege ,DSC07562.JPG
76,Beleuchtung ,Beleuchtung,Unterführungsbeleuchtung,Besonderheiten ,DSC07563.JPG
77,Fahrradstraße ,Fahrradstraße,in der Unterführung,Verkehrswege ,DSC07564.JPG
78,Parteigebäude,Parteigebäude,Die Linke,Gewerbe ,DSC07565.JPG
79,H. Diab,Sternautomobile,Autoverkauf,Gewerbe ,DSC07567.JPG
80,Debeka,Debeka,Versicherung,Gewerbe ,DSC07566.JPG
81,Beuk Vermietung ,Beuk Vermietung,"Vermietung von Wohnungen und Garagen, Nissen &Beuck, Rechts- und Fachanwälte",Gewerbe ,DSC07568.JPG
82,Müll,Sperrmüll,Vor einem Mehrfamilienhaus ,Besonderheiten ,DSC07569.JPG
83,Wohnkomplex ,Mehrfamilienhäuser,Vermutlich Mietwohnungen ,Bebauung ,DSC07570.JPG
84,Schillerstraße ,Schillerstraße,Straßenschild mit Info über Schriftsteller,Straßennamen,DSC07571.JPG
85,Goethestraße ,Goethestraße,Straßenschild mit Info über Schriftsteller,Straßennamen ,DSC07572.JPG
86,Spielhalle,Spielhalle,Spielhalle,Gewerbe ,DSC07573.JPG
87,Grabstein Steinmetz ,Naturstein Nord,Steinmetz mit Mustersteinen,Gewerbe,DSC07574.JPG
88,Grabstein Steinmetz ,Peter Heine,Steinmetz mit Mustersteinen,Gewerbe ,DSC07575.JPG
89,Spielplatz ,Spielplatz,vermutlich im Hingergrund eine Schule oder ein Kindergarten,Gewerbe,DSC07576.JPG
90,Emmaus Kirchengemeinde ,Emmaus Kirchengemeinde,Informationskasten,Besonderheiten ,DSC07577.JPG
91,Bank,Sitzgelegenheit,Holzbank,Infrastruktur ,DSC07578.JPG
92,Evangelischer Friedhof ,Evangelischer Friedhof,"Tor zum Friedhof, mit dem Auto befahrbar",Infrastruktur ,DSC07579.JPG
93,Fahrradladen ,Veloskop,Fahrradladen in einem Gebäude von 1900,Infrastruktur ,DSC07580.JPG
94,WWK ,WWK,Versicherung,Gewerbe ,DSC07582.JPG
95,Der Elbbäcker ,Elbbäcker 4,4. Filiale ,Gewerbe ,DSC07581.JPG
96,Aral,Aral,Tankstelle ,Gewerbe ,DSC07583.JPG
97,Wohnblockhäuser ,Mehrfamilienhäuser,vermutlich Mietwohnungen,Bebauung ,DSC07584.JPG
98,nicht sichtbarer Radweg,nicht sichtbarer Radweg,durch Reparatur nicht mehr ausgewiesener Radweg,Verkehrswege ,DSC07585.JPG
99,Parkstraße ,Parkstraße,gesonderter Weg für parkende Autos,Verkehrswege ,DSC07587.JPG
100,Bonsengebäude,Mehrfamilienhaus,"gehobene Ausstattung, Vermutlich Eigentumswohnungen ",Bebauung ,DSC07588.JPG
101,Ende,Ende von Data Walk,Ende,Ende,DSC07589.JPG
